"ID","CLASS","SUBCLASS","FUNCTION"
"path:mapNA"," Environmental Information Processing","   Signaling molecules and interaction","NA"
"path:map04144"," Cellular Processes","   Transport and catabolism","Endocytosis"
"path:map04145"," Cellular Processes","   Transport and catabolism","Phagosome"
"path:map04142"," Cellular Processes","   Transport and catabolism","Lysosome"
"path:map04146"," Cellular Processes","   Transport and catabolism","Peroxisome"
"path:map04140"," Cellular Processes","   Transport and catabolism","Regulation of autophagy"
"path:map04139"," Cellular Processes","   Transport and catabolism","Regulation of mitophagy - yeast"
"path:map02030"," Cellular Processes","   Cell motility","Bacterial chemotaxis"
"path:map02040"," Cellular Processes","   Cell motility","Flagellar assembly"
"path:map04810"," Cellular Processes","   Cell motility","Regulation of actin cytoskeleton"
"path:map04110"," Cellular Processes","   Cell growth and death","Cell cycle"
"path:map04111"," Cellular Processes","   Cell growth and death","Cell cycle - yeast"
"path:map04112"," Cellular Processes","   Cell growth and death","Cell cycle - Caulobacter"
"path:map04113"," Cellular Processes","   Cell growth and death","Meiosis - yeast"
"path:map04114"," Cellular Processes","   Cell growth and death","Oocyte meiosis"
"path:map04210"," Cellular Processes","   Cell growth and death","Apoptosis"
"path:map04214"," Cellular Processes","   Cell growth and death","Apoptosis - fly"
"path:map04215"," Cellular Processes","   Cell growth and death","Apoptosis - multiple species"
"path:map04115"," Cellular Processes","   Cell growth and death","p53 signaling pathway"
"path:map02024"," Cellular Processes","   Cellular community","Quorum sensing"
"path:map04510"," Cellular Processes","   Cellular community","Focal adhesion"
"path:map04520"," Cellular Processes","   Cellular community","Adherens junction"
"path:map04530"," Cellular Processes","   Cellular community","Tight junction"
"path:map04540"," Cellular Processes","   Cellular community","Gap junction"
"path:map04550"," Cellular Processes","   Cellular community","Signaling pathways regulating pluripotency of stem cells"
"path:mapNA"," Cellular Processes","   Cellular community","NA"
"path:map04640"," Organismal Systems","   Immune system","Hematopoietic cell lineage"
"path:map04610"," Organismal Systems","   Immune system","Complement and coagulation cascades"
"path:map04611"," Organismal Systems","   Immune system","Platelet activation"
"path:map04620"," Organismal Systems","   Immune system","Toll-like receptor signaling pathway"
"path:map04624"," Organismal Systems","   Immune system","Toll and Imd signaling pathway"
"path:map04621"," Organismal Systems","   Immune system","NOD-like receptor signaling pathway"
"path:map04622"," Organismal Systems","   Immune system","RIG-I-like receptor signaling pathway"
"path:map04623"," Organismal Systems","   Immune system","Cytosolic DNA-sensing pathway"
"path:map04650"," Organismal Systems","   Immune system","Natural killer cell mediated cytotoxicity"
"path:map04612"," Organismal Systems","   Immune system","Antigen processing and presentation"
"path:map04660"," Organismal Systems","   Immune system","T cell receptor signaling pathway"
"path:map04662"," Organismal Systems","   Immune system","B cell receptor signaling pathway"
"path:map04664"," Organismal Systems","   Immune system","Fc epsilon RI signaling pathway"
"path:map04666"," Organismal Systems","   Immune system","Fc gamma R-mediated phagocytosis"
"path:map04670"," Organismal Systems","   Immune system","Leukocyte transendothelial migration"
"path:map04672"," Organismal Systems","   Immune system","Intestinal immune network for IgA production"
"path:map04062"," Organismal Systems","   Immune system","Chemokine signaling pathway"
"path:map04911"," Organismal Systems","   Endocrine system","Insulin secretion"
"path:map04910"," Organismal Systems","   Endocrine system","Insulin signaling pathway"
"path:map04922"," Organismal Systems","   Endocrine system","Glucagon signaling pathway"
"path:map04923"," Organismal Systems","   Endocrine system","Regulation of lipolysis in adipocytes"
"path:map04920"," Organismal Systems","   Endocrine system","Adipocytokine signaling pathway"
"path:map03320"," Organismal Systems","   Endocrine system","PPAR signaling pathway"
"path:map04912"," Organismal Systems","   Endocrine system","GnRH signaling pathway"
"path:map04913"," Organismal Systems","   Endocrine system","Ovarian steroidogenesis"
"path:map04915"," Organismal Systems","   Endocrine system","Estrogen signaling pathway"
"path:map04914"," Organismal Systems","   Endocrine system","Progesterone-mediated oocyte maturation"
"path:map04917"," Organismal Systems","   Endocrine system","Prolactin signaling pathway"
"path:map04921"," Organismal Systems","   Endocrine system","Oxytocin signaling pathway"
"path:map04918"," Organismal Systems","   Endocrine system","Thyroid hormone synthesis"
"path:map04919"," Organismal Systems","   Endocrine system","Thyroid hormone signaling pathway"
"path:map04916"," Organismal Systems","   Endocrine system","Melanogenesis"
"path:map04924"," Organismal Systems","   Endocrine system","Renin secretion"
"path:map04614"," Organismal Systems","   Endocrine system","Renin-angiotensin system"
"path:map04925"," Organismal Systems","   Endocrine system","Aldosterone synthesis and secretion"
"path:map04260"," Organismal Systems","   Circulatory system","Cardiac muscle contraction"
"path:map04261"," Organismal Systems","   Circulatory system","Adrenergic signaling in cardiomyocytes"
"path:map04270"," Organismal Systems","   Circulatory system","Vascular smooth muscle contraction"
"path:map04970"," Organismal Systems","   Digestive system","Salivary secretion"
"path:map04971"," Organismal Systems","   Digestive system","Gastric acid secretion"
"path:map04972"," Organismal Systems","   Digestive system","Pancreatic secretion"
"path:map04976"," Organismal Systems","   Digestive system","Bile secretion"
"path:map04973"," Organismal Systems","   Digestive system","Carbohydrate digestion and absorption"
"path:map04974"," Organismal Systems","   Digestive system","Protein digestion and absorption"
"path:map04975"," Organismal Systems","   Digestive system","Fat digestion and absorption"
"path:map04977"," Organismal Systems","   Digestive system","Vitamin digestion and absorption"
"path:map04978"," Organismal Systems","   Digestive system","Mineral absorption"
"path:map04962"," Organismal Systems","   Excretory system","Vasopressin-regulated water reabsorption"
"path:map04960"," Organismal Systems","   Excretory system","Aldosterone-regulated sodium reabsorption"
"path:map04961"," Organismal Systems","   Excretory system","Endocrine and other factor-regulated calcium reabsorption"
"path:map04964"," Organismal Systems","   Excretory system","Proximal tubule bicarbonate reclamation"
"path:map04966"," Organismal Systems","   Excretory system","Collecting duct acid secretion"
"path:map04724"," Organismal Systems","   Nervous system","Glutamatergic synapse"
"path:map04727"," Organismal Systems","   Nervous system","GABAergic synapse"
"path:map04725"," Organismal Systems","   Nervous system","Cholinergic synapse"
"path:map04728"," Organismal Systems","   Nervous system","Dopaminergic synapse"
"path:map04726"," Organismal Systems","   Nervous system","Serotonergic synapse"
"path:map04720"," Organismal Systems","   Nervous system","Long-term potentiation"
"path:map04730"," Organismal Systems","   Nervous system","Long-term depression"
"path:map04723"," Organismal Systems","   Nervous system","Retrograde endocannabinoid signaling"
"path:map04721"," Organismal Systems","   Nervous system","Synaptic vesicle cycle"
"path:map04722"," Organismal Systems","   Nervous system","Neurotrophin signaling pathway"
"path:map04744"," Organismal Systems","   Sensory system","Phototransduction"
"path:map04745"," Organismal Systems","   Sensory system","Phototransduction - fly"
"path:map04740"," Organismal Systems","   Sensory system","Olfactory transduction"
"path:map04742"," Organismal Systems","   Sensory system","Taste transduction"
"path:map04750"," Organismal Systems","   Sensory system","Inflammatory mediator regulation of TRP channels"
"path:map04320"," Organismal Systems","   Development","Dorso-ventral axis formation"
"path:map04360"," Organismal Systems","   Development","Axon guidance"
"path:map04380"," Organismal Systems","   Development","Osteoclast differentiation"
"path:map04211"," Organismal Systems","   Aging","Longevity regulating pathway"
"path:map04212"," Organismal Systems","   Aging","Longevity regulating pathway - worm"
"path:map04213"," Organismal Systems","   Aging","Longevity regulating pathway - multiple species"
"path:map04710"," Organismal Systems","   Environmental adaptation","Circadian rhythm"
"path:map04713"," Organismal Systems","   Environmental adaptation","Circadian entrainment"
"path:map04711"," Organismal Systems","   Environmental adaptation","Circadian rhythm - fly"
"path:map04712"," Organismal Systems","   Environmental adaptation","Circadian rhythm - plant"
"path:map04626"," Organismal Systems","   Environmental adaptation","Plant-pathogen interaction"
"path:mapNA"," Organismal Systems","   Environmental adaptation","NA"
"path:map05200"," Human Diseases","   Cancers: Overview","Pathways in cancer"
"path:map05230"," Human Diseases","   Cancers: Overview","Central carbon metabolism in cancer"
"path:map05231"," Human Diseases","   Cancers: Overview","Choline metabolism in cancer"
"path:map05202"," Human Diseases","   Cancers: Overview","Transcriptional misregulation in cancer"
"path:map05206"," Human Diseases","   Cancers: Overview","MicroRNAs in cancer"
"path:map05205"," Human Diseases","   Cancers: Overview","Proteoglycans in cancer"
"path:map05204"," Human Diseases","   Cancers: Overview","Chemical carcinogenesis"
"path:map05203"," Human Diseases","   Cancers: Overview","Viral carcinogenesis"
"path:map05210"," Human Diseases","   Cancers: Specific types","Colorectal cancer"
"path:map05212"," Human Diseases","   Cancers: Specific types","Pancreatic cancer"
"path:map05214"," Human Diseases","   Cancers: Specific types","Glioma"
"path:map05216"," Human Diseases","   Cancers: Specific types","Thyroid cancer"
"path:map05221"," Human Diseases","   Cancers: Specific types","Acute myeloid leukemia"
"path:map05220"," Human Diseases","   Cancers: Specific types","Chronic myeloid leukemia"
"path:map05217"," Human Diseases","   Cancers: Specific types","Basal cell carcinoma"
"path:map05218"," Human Diseases","   Cancers: Specific types","Melanoma"
"path:map05211"," Human Diseases","   Cancers: Specific types","Renal cell carcinoma"
"path:map05219"," Human Diseases","   Cancers: Specific types","Bladder cancer"
"path:map05215"," Human Diseases","   Cancers: Specific types","Prostate cancer"
"path:map05213"," Human Diseases","   Cancers: Specific types","Endometrial cancer"
"path:map05224"," Human Diseases","   Cancers: Specific types","Breast cancer"
"path:map05222"," Human Diseases","   Cancers: Specific types","Small cell lung cancer"
"path:map05223"," Human Diseases","   Cancers: Specific types","Non-small cell lung cancer"
"path:map05310"," Human Diseases","   Immune diseases","Asthma"
"path:map05322"," Human Diseases","   Immune diseases","Systemic lupus erythematosus"
"path:map05323"," Human Diseases","   Immune diseases","Rheumatoid arthritis"
"path:map05320"," Human Diseases","   Immune diseases","Autoimmune thyroid disease"
"path:map05321"," Human Diseases","   Immune diseases","Inflammatory bowel disease (IBD)"
"path:map05330"," Human Diseases","   Immune diseases","Allograft rejection"
"path:map05332"," Human Diseases","   Immune diseases","Graft-versus-host disease"
"path:map05340"," Human Diseases","   Immune diseases","Primary immunodeficiency"
"path:map05010"," Human Diseases","   Neurodegenerative diseases","Alzheimer's disease"
"path:map05012"," Human Diseases","   Neurodegenerative diseases","Parkinson's disease"
"path:map05014"," Human Diseases","   Neurodegenerative diseases","Amyotrophic lateral sclerosis (ALS)"
"path:map05016"," Human Diseases","   Neurodegenerative diseases","Huntington's disease"
"path:map05020"," Human Diseases","   Neurodegenerative diseases","Prion diseases"
"path:map05030"," Human Diseases","   Substance dependence","Cocaine addiction"
"path:map05031"," Human Diseases","   Substance dependence","Amphetamine addiction"
"path:map05032"," Human Diseases","   Substance dependence","Morphine addiction"
"path:map05033"," Human Diseases","   Substance dependence","Nicotine addiction"
"path:map05034"," Human Diseases","   Substance dependence","Alcoholism"
"path:map05410"," Human Diseases","   Cardiovascular diseases","Hypertrophic cardiomyopathy (HCM)"
"path:map05412"," Human Diseases","   Cardiovascular diseases","Arrhythmogenic right ventricular cardiomyopathy (ARVC)"
"path:map05414"," Human Diseases","   Cardiovascular diseases","Dilated cardiomyopathy"
"path:map05416"," Human Diseases","   Cardiovascular diseases","Viral myocarditis"
"path:map04930"," Human Diseases","   Endocrine and metabolic diseases","Type II diabetes mellitus"
"path:map04940"," Human Diseases","   Endocrine and metabolic diseases","Type I diabetes mellitus"
"path:map04950"," Human Diseases","   Endocrine and metabolic diseases","Maturity onset diabetes of the young"
"path:map04932"," Human Diseases","   Endocrine and metabolic diseases","Non-alcoholic fatty liver disease (NAFLD)"
"path:map04931"," Human Diseases","   Endocrine and metabolic diseases","Insulin resistance"
"path:map04933"," Human Diseases","   Endocrine and metabolic diseases","AGE-RAGE signaling pathway in diabetic complications"
"path:map05110"," Human Diseases","   Infectious diseases: Bacterial","Vibrio cholerae infection"
"path:map05111"," Human Diseases","   Infectious diseases: Bacterial","Vibrio cholerae pathogenic cycle"
"path:map05120"," Human Diseases","   Infectious diseases: Bacterial","Epithelial cell signaling in Helicobacter pylori infection"
"path:map05130"," Human Diseases","   Infectious diseases: Bacterial","Pathogenic Escherichia coli infection"
"path:map05132"," Human Diseases","   Infectious diseases: Bacterial","Salmonella infection"
"path:map05131"," Human Diseases","   Infectious diseases: Bacterial","Shigellosis"
"path:map05133"," Human Diseases","   Infectious diseases: Bacterial","Pertussis"
"path:map05134"," Human Diseases","   Infectious diseases: Bacterial","Legionellosis"
"path:map05150"," Human Diseases","   Infectious diseases: Bacterial","Staphylococcus aureus infection"
"path:map05152"," Human Diseases","   Infectious diseases: Bacterial","Tuberculosis"
"path:map05100"," Human Diseases","   Infectious diseases: Bacterial","Bacterial invasion of epithelial cells"
"path:map05166"," Human Diseases","   Infectious diseases: Viral","HTLV-I infection"
"path:map05162"," Human Diseases","   Infectious diseases: Viral","Measles"
"path:map05164"," Human Diseases","   Infectious diseases: Viral","Influenza A"
"path:map05161"," Human Diseases","   Infectious diseases: Viral","Hepatitis B"
"path:map05160"," Human Diseases","   Infectious diseases: Viral","Hepatitis C"
"path:map05168"," Human Diseases","   Infectious diseases: Viral","Herpes simplex infection"
"path:map05169"," Human Diseases","   Infectious diseases: Viral","Epstein-Barr virus infection"
"path:map05146"," Human Diseases","   Infectious diseases: Parasitic","Amoebiasis"
"path:map05144"," Human Diseases","   Infectious diseases: Parasitic","Malaria"
"path:map05145"," Human Diseases","   Infectious diseases: Parasitic","Toxoplasmosis"
"path:map05140"," Human Diseases","   Infectious diseases: Parasitic","Leishmaniasis"
"path:map05142"," Human Diseases","   Infectious diseases: Parasitic","Chagas disease (American trypanosomiasis)"
"path:map05143"," Human Diseases","   Infectious diseases: Parasitic","African trypanosomiasis"
"path:map01501"," Human Diseases","   Drug resistance: Antimicrobial","beta-Lactam resistance"
"path:map01502"," Human Diseases","   Drug resistance: Antimicrobial","Vancomycin resistance"
"path:map01503"," Human Diseases","   Drug resistance: Antimicrobial","Cationic antimicrobial peptide (CAMP) resistance"
"path:map01521"," Human Diseases","   Drug resistance: Antineoplastic","EGFR tyrosine kinase inhibitor resistance"
"path:map01524"," Human Diseases","   Drug resistance: Antineoplastic","Platinum drug resistance"
"path:map01523"," Human Diseases","   Drug resistance: Antineoplastic","Antifolate resistance"
"path:map01522"," Human Diseases","   Drug resistance: Antineoplastic","Endocrine resistance"
"path:mapNA"," Human Diseases","   Drug resistance: Antineoplastic","NA"
"path:map07011"," Drug Development","   Chronology: Antiinfectives","Penicillins"
"path:map07012"," Drug Development","   Chronology: Antiinfectives","Cephalosporins - parenteral agents"
"path:map07013"," Drug Development","   Chronology: Antiinfectives","Cephalosporins - oral agents"
"path:map07021"," Drug Development","   Chronology: Antiinfectives","Aminoglycosides"
"path:map07019"," Drug Development","   Chronology: Antiinfectives","Tetracyclines"
"path:map07020"," Drug Development","   Chronology: Antiinfectives","Macrolides and ketolides"
"path:map07014"," Drug Development","   Chronology: Antiinfectives","Quinolones"
"path:map07023"," Drug Development","   Chronology: Antiinfectives","Rifamycins"
"path:map07026"," Drug Development","   Chronology: Antiinfectives","Antifungal agents"
"path:map07044"," Drug Development","   Chronology: Antiinfectives","Antiviral agents"
"path:map07053"," Drug Development","   Chronology: Antiinfectives","Anti-HIV agents"
"path:map07040"," Drug Development","   Chronology: Antineoplastics","Antineoplastics - alkylating agents"
"path:map07041"," Drug Development","   Chronology: Antineoplastics","Antineoplastics - antimetabolic agents"
"path:map07042"," Drug Development","   Chronology: Antineoplastics","Antineoplastics - agents from natural products"
"path:map07043"," Drug Development","   Chronology: Antineoplastics","Antineoplastics - hormones"
"path:map07045"," Drug Development","   Chronology: Antineoplastics","Antineoplastics - protein kinases inhibitors"
"path:map07032"," Drug Development","   Chronology: Nervous system agents","Hypnotics"
"path:map07030"," Drug Development","   Chronology: Nervous system agents","Anxiolytics"
"path:map07033"," Drug Development","   Chronology: Nervous system agents","Anticonvulsants"
"path:map07015"," Drug Development","   Chronology: Nervous system agents","Local analgesics"
"path:map07039"," Drug Development","   Chronology: Nervous system agents","Opioid analgesics"
"path:map07028"," Drug Development","   Chronology: Nervous system agents","Antipsychotics"
"path:map07029"," Drug Development","   Chronology: Nervous system agents","Phenothiazines"
"path:map07031"," Drug Development","   Chronology: Nervous system agents","Butyrophenones"
"path:map07027"," Drug Development","   Chronology: Nervous system agents","Antidepressants"
"path:map07056"," Drug Development","   Chronology: Nervous system agents","Agents for Alzheimer-type dementia"
"path:map07057"," Drug Development","   Chronology: Nervous system agents","Antiparkinsonian agents"
"path:map07055"," Drug Development","   Chronology: Other drugs","Sulfonamide derivatives - overview"
"path:map07016"," Drug Development","   Chronology: Other drugs","Sulfonamide derivatives - sulfa drugs"
"path:map07017"," Drug Development","   Chronology: Other drugs","Sulfonamide derivatives - diuretics"
"path:map07018"," Drug Development","   Chronology: Other drugs","Sulfonamide derivatives - hypoglycemic agents"
"path:map07037"," Drug Development","   Chronology: Other drugs","Antiarrhythmic drugs"
"path:map07038"," Drug Development","   Chronology: Other drugs","Antiulcer drugs"
"path:map07046"," Drug Development","   Chronology: Other drugs","Immunosuppressive agents"
"path:map07047"," Drug Development","   Chronology: Other drugs","Osteoporosis drugs"
"path:map07048"," Drug Development","   Chronology: Other drugs","Antimigraines"
"path:map07049"," Drug Development","   Chronology: Other drugs","Antithrombosis agents"
"path:map07050"," Drug Development","   Chronology: Other drugs","Antirheumatics - DMARDs and biological agents"
"path:map07051"," Drug Development","   Chronology: Other drugs","Antidiabetics"
"path:map07052"," Drug Development","   Chronology: Other drugs","Antidyslipidemic agents"
"path:map07054"," Drug Development","   Chronology: Other drugs","Antiglaucoma agents"
"path:map07220"," Drug Development","   Target-based classification: G protein-coupled receptors","Cholinergic and anticholinergic drugs"
"path:map07215"," Drug Development","   Target-based classification: G protein-coupled receptors","alpha-Adrenergic receptor agonists/antagonists"
"path:map07214"," Drug Development","   Target-based classification: G protein-coupled receptors","beta-Adrenergic receptor agonists/antagonists"
"path:map07213"," Drug Development","   Target-based classification: G protein-coupled receptors","Dopamine receptor agonists/antagonists"
"path:map07212"," Drug Development","   Target-based classification: G protein-coupled receptors","Histamine H1 receptor antagonists"
"path:map07227"," Drug Development","   Target-based classification: G protein-coupled receptors","Histamine H2/H3 receptor agonists/antagonists"
"path:map07211"," Drug Development","   Target-based classification: G protein-coupled receptors","Serotonin receptor agonists/antagonists"
"path:map07228"," Drug Development","   Target-based classification: G protein-coupled receptors","Eicosanoid receptor agonists/antagonists"
"path:map07224"," Drug Development","   Target-based classification: G protein-coupled receptors","Opioid receptor agonists/antagonists"
"path:map07229"," Drug Development","   Target-based classification: G protein-coupled receptors","Angiotensin receptor and endothelin receptor antagonists"
"path:map07225"," Drug Development","   Target-based classification: Nuclear receptors","Glucocorticoid and meneralocorticoid receptor agonists/antagonists"
"path:map07226"," Drug Development","   Target-based classification: Nuclear receptors","Progesterone, androgen and estrogen receptor agonists/antagonists"
"path:map07223"," Drug Development","   Target-based classification: Nuclear receptors","Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists"
"path:map07222"," Drug Development","   Target-based classification: Nuclear receptors","Peroxisome proliferator-activated receptor (PPAR) agonists"
"path:map07221"," Drug Development","   Target-based classification: Ion channels","Nicotinic cholinergic receptor antagonists"
"path:map07230"," Drug Development","   Target-based classification: Ion channels","GABA-A receptor agonists/antagonists"
"path:map07036"," Drug Development","   Target-based classification: Ion channels","Calcium channel blocking drugs"
"path:map07231"," Drug Development","   Target-based classification: Ion channels","Sodium channel blocking drugs"
"path:map07232"," Drug Development","   Target-based classification: Ion channels","Potassium channel blocking and opening drugs"
"path:map07235"," Drug Development","   Target-based classification: Ion channels","N-Metyl-D-aspartic acid receptor antagonists"
"path:map07233"," Drug Development","   Target-based classification: Transporters","Ion transporter inhibitors"
"path:map07234"," Drug Development","   Target-based classification: Transporters","Neurotransmitter transporter inhibitors"
"path:map07216"," Drug Development","   Target-based classification: Enzymes","Catecholamine transferase inhibitors"
"path:map07219"," Drug Development","   Target-based classification: Enzymes","Cyclooxygenase inhibitors"
"path:map07024"," Drug Development","   Target-based classification: Enzymes","HMG-CoA reductase inhibitors"
"path:map07217"," Drug Development","   Target-based classification: Enzymes","Renin-angiotensin system inhibitors"
"path:map07218"," Drug Development","   Target-based classification: Enzymes","HIV protease inhibitors"
"path:map07025"," Drug Development","   Structure-based classification","Quinolines"
"path:map07034"," Drug Development","   Structure-based classification","Eicosanoids"
"path:map07035"," Drug Development","   Structure-based classification","Prostaglandins"
"path:map07110"," Drug Development","   Skeleton-based classification","Benzoic acid family"
"path:map07112"," Drug Development","   Skeleton-based classification","1,2-Diphenyl substitution family"
"path:map07114"," Drug Development","   Skeleton-based classification","Naphthalene family"
"path:map07117"," Drug Development","   Skeleton-based classification","Benzodiazepine family"
